id_marca,marca_canonica,alias,instagram,sitio_web,estado
266,Pilates House Studio,Pilates House Studio,,,activa
267,Pilates Integral,Pilates INtegral,,,activa
268,Pilates Ki,Pilates Ki,,,activa
269,Pilates Line,Pilates Line,,,activa
270,Pilates Mep,Pilates MEP,,,activa
271,Pilates Mahara,Pilates Mahara,,,activa
272,Pilates Marina,Pilates Marina,,,activa
273,Pilates Mat Y Reformer Bio Gym,Pilates Mat y Reformer Bio Gym,,,activa
274,Pilates Motus Tacuari,Pilates Motus Tacuari,,,activa
275,Pilates Muta,Pilates Muta,,,activa
276,Pilates Más Actividad Sucursal Recoleta,Pilates Más Actividad sucursal Recoleta,,,activa
277,Pilates Más Actividad Sucursal Villa Del Parque,Pilates Más Actividad sucursal Villa del Parque,,,activa
278,Pilates Studio - Sede Barracas,Pilates Studio - Sede Barracas,,,activa
279,Pilates Studio Benessere,Pilates Studio Benessere,,,activa
280,Pilates Studio Sabrina Feal,Pilates Studio Sabrina Feal,,,activa
281,Pilates Umano,Pilates UMANO,,,activa
282,Pilates V&Vos,Pilates V&Vos,,,activa
283,Pilates Villa Crespo,Pilates Villa Crespo,,,activa
284,"Pilates By Core - Caballito, Directorio","Pilates by CORE - CABALLITO, DIRECTORIO",,,activa
285,"Pilates By Core - Recoleta, Mansilla","Pilates by CORE - RECOLETA, MANSILLA",,,activa
286,Pilates Del Ángel By Maca Ardanaz,Pilates del Ángel by Maca Ardanaz,,,activa
287,Pilates En Circuito Sd Versalles,Pilates en Circuito SD Versalles,,,activa
288,Pilates Funcional By Gi,Pilates funcional by Gi,,,activa
289,Pilates Menta,Pilates menta,,,activa
290,Pilates Postural Y Estiramiento Vk,Pilates postural y estiramiento VK,,,activa
291,Pilates Y Entrenamiento,Pilates y entrenamiento,,,activa
292,Pilateá Con Mar,Pilateá con Mar,,,activa
293,Pilatisa Tu Vida,Pilatisa tu vida,,,activa
294,Piuké Pilates Boedo,Piuké Pilates Boedo,,,activa
295,Plaza Pilates,Plaza Pilates,,,activa
296,Plena Estudio De Danzas Y Pilates,Plena Estudio de Danzas y Pilates,,,activa
297,Plena Pilates,Plena Pilates,,,activa
298,Powerhouse Pilates,Powerhouse Pilates,,,activa
299,Pramana Pilates Studio,Pramana Pilates Studio,,,activa
300,Prana House - Yoga & Pilates,Prana House - Yoga & Pilates,,,activa
301,Prisma Pilates,Prisma Pilates,,,activa
302,Puravida Pilates,PuraVida Pilates,,,activa
303,Quequi Pilates,Quequi Pilates,,,activa
304,Rona Pilates Reformer Recoleta,RONA Pilates Reformer Recoleta,,,activa
305,Raisa Pilates,Raisa pilates,,,activa
306,Releve Pilates,Releve Pilates,,,activa
307,Rincon Del Alma Pilates,Rincon del Alma Pilates,,,activa
308,Rizoma Pilates,Rizoma Pilates,,,activa
309,Roma Pilates & Coffee,Roma Pilates & Coffee,,,activa
310,S Circuit Pilates Reformer,S Circuit Pilates Reformer,,,activa
311,Sf Pilates La Boca,SF Pilates La Boca,,,activa
312,Soma Pilates,SOMA PILATES,,,activa
313,Soy Pilates,SOY Pilates,,,activa
314,Spa Pilates,SPA PILATES,,,activa
315,Samsara Pilates Villa Crespo,Samsara Pilates Villa Crespo,,,activa
316,San Telmo Pilates,San Telmo PILATES,,,activa
317,Sandra Martínez Auténtico Pilates,Sandra Martínez Auténtico Pilates,,,activa
318,Sankalpa Pilates Y Yoga,Sankalpa Pilates y Yoga,,,activa
319,Sayen Pilates & Spa,Sayen Pilates & Spa,,,activa
320,"Ser Zen Barre, Pilates Y Yoga","Ser Zen barre, pilates y yoga",,,activa
321,Seruno Pilates Reforme,SerUno Pilates Reforme,,,activa
322,Seruno • Pilates Reformer,SerUno • Pilates Reformer,,,activa
323,Shyvana Pilates,Shyvana Pilates,,,activa
324,Soho Pilates,Soho Pilates,,,activa
325,Sol Azteca Pilates,Sol Azteca Pilates,,,activa
326,Sol Pilates,Sol Pilates,,,activa
327,Sol Salud,Sol Salud,,,activa
328,Soulpilates,SoulPilates,,,activa
329,Spacio Zeta Pilates Boot Camp,Spacio Zeta Pilates Boot Camp,,,activa
330,Studio Ac_ Pilates Reformer,Studio AC_ Pilates Reformer,,,activa
331,Studio Secret To Live,Studio Secret to Live,,,activa
332,Studio Smile Pilates,Studio Smile Pilates,,,activa
333,Studio Recoleta Pilates,Studio recoleta pilates,,,activa
334,Sukha Pilates Core Center,Sukha Pilates Core Center,,,activa
335,Tan Tiem Pilates,Tan Tiem Pilates,,,activa
336,Teseo | Pilates Funcional,Teseo | Pilates Funcional,,,activa
